code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt,dob,display_name
83091,Borja,González Tomás,Bastón,507,,,623,,,,,,8c44e37b,1701,85324,714700800000,Borja Bastón
83283,Nathan,Redmond,Redmond,304,324,343,320,365,336,403,600,,ab651565,790,129078,762912000000,Nathan Redmond
83299,Lewis,Dunk,Dunk,,55,48,42,62,59,106,129,120,282f75f3,6048,148153,690681600000,Lewis Dunk
83312,Ben,Gibson,Gibson,278,,491,89,94,456,,,,bcfb0142,1707,128904,727056000000,Ben Gibson
83314,Jeff,Hendrick,Hendrick,560,86,78,100,485,297,375,414,,989d5705,1746,148262,696816000000,Jeff Hendrick
83427,Jack,Robinson,Robinson,,,,611,352,,,576,,7399c7a8,8286,128909,746841600000,Jack Robinson
83428,Grant,Hanley,Hanley,,292,,277,,319,,,,e9254eec,7690,121385,690595200000,Grant Hanley
83543,Anthony,Knockaert,Knockaert,,62,55,52,177,,202,273,,6c679c6d,4497,149237,690595200000,Anthony Knockaert
84112,Collin,Quaner,Quaner,,186,209,,,,,,,19b8b0b9,6035,123397,677203200000,Collin Quaner
84182,Alphonse,Areola,Areola,,,,,516,489,473,524,513,2f965a72,2310,120629,730771200000,Alphonse Areola
84384,Timm,Klose,Klose,,,,272,,,,,,5f1d07f6,162,65255,579139200000,Timm Klose
84395,Florin,Gardos,Gardos,300,,,,,,,,,70eb7e9d,4405,57423,594086400000,Florin Gardos
84450,Granit,Xhaka,Xhaka,24,23,17,18,9,7,3,30,,e61b8aee,204,111455,717552000000,Granit Xhaka
84583,Philippe,Coutinho Correia,Coutinho,203,226,,,,681,29,38,,0ef89a37,488,80444,708307200000,Philippe Coutinho
84915,Michael,Hector,Hector,,,,,178,,,,,5f1a2f31,5274,157490,711504000000,Michael Hector
84939,Danny,Ings,Ings,216,237,258,313,366,337,30,535,523,07802f7f,986,134294,711849600000,Danny Ings
85017,Tendayi,Darikwa,Darikwa,60,,,,,,,,,beecc37c,1666,158700,692582400000,Tendayi Darikwa
85128,Connor,Goldson,Goldson,,61,,,,,,,,56f6f826,6299,163656,724636800000,Connor Goldson
85242,Conor,Hourihane,Hourihane,,,,28,33,29,,,,fcab00a0,7721,61653,665452800000,Conor Hourihane
85352,Bruno,Martins Indi,Martins Indi,562,513,,,,,,,,7bc34048,1743,112052,697507200000,Bruno Martins Indi
85368,Christopher,Schindler,Schindler,,164,192,,,,,,,8ae9869d,6031,57842,641347200000,Christopher Schindler
85624,Christian,Kabasele,Kabasele,414,403,380,354,,384,,,,914ab9a1,1725,81512,667353600000,Christian Kabasele
85633,Matz,Sels,Sels,,,,,,,,808,443,834b5c4c,6903,127202,699062400000,Matz Sels
85654,Jordy,Clasie,Clasie,309,319,,,,,,,,31c01b85,837,104223,677980800000,Jordy Clasie
85955,Jorge Luiz,Frello Filho,Jorginho,,,459,118,105,123,130,9,7,45db685d,1389,102017,693187200000,Jorginho
85971,Son,Heung-min,Son,402,390,367,342,390,359,428,516,503,92e7e919,453,91845,710553600000,Son Heung-Min
86129,Kalidou,Koulibaly,Koulibaly,,,,,,,520,,,da974c7b,1376,93128,677376000000,Kalidou Koulibaly
86153,Martín,Montoya,Montoya,,,503,38,63,,,,,5cec2487,1950,68645,671587200000,Martín Montoya
86173,Manuel,Agudo Durán,Nolito,237,254,,,,,,,,b2d0ec1b,1732,70934,529718400000,Nolito
86176,Tom,Ince,Ince,,182,203,,,,,,,67d23ab0,4454,157368,696729600000,Tom Ince
86417,Jeffrey,Schlupp,Schlupp,169,123,141,137,142,155,161,240,214,3312f911,757,157506,725068800000,Jeffrey Schlupp
86431,Brice,Dja Djédjé,Dja Djédjé,481,,,,,,,,,d8593687,3605,93690,661910400000,Brice Dja Djédjé
86881,Nampalys,Mendy,Mendy,183,205,527,179,518,203,252,,,1598599e,1785,111051,709257600000,Nampalys Mendy
86934,Manuel,Lanzini,Lanzini,462,453,414,391,439,416,460,,,26f6dca8,535,135853,729734400000,Manuel Lanzini
87107,Cyrus,Christie,Christie,,,460,,179,,,,,7eb67dad,6833,158623,717811200000,Cyrus Christie
87121,Kieron,Freeman,Freeman,,,,292,,,,,,c13c24c8,8046,158703,701136000000,Kieron Freeman
87396,Moritz,Leitner,Leitner,,,,288,,,,,,9460aaed,1217,82243,723772800000,Moritz Leitner
87428,Elias,Kachunga,Kachunga,,181,212,,,,,,,5bddccc9,248,49501,703900800000,Elias Kachunga
87447,Muhamed,Bešić,Bešić,139,152,,522,,,,,,7ca9f0f0,908,93905,716083200000,Muhamed Besic
87835,Matt,Doherty,Doherty,,,425,401,457,360,429,598,543,d557d734,6852,171679,695520000000,Matt Doherty
87856,Michael,Hefele,Hefele,,167,,,,,,,,91bdc54a,6039,102382,652147200000,Michael Hefele
87873,Stuart,Dallas,Dallas,,,,,200,188,226,,,67ca8566,8718,158764,672019200000,Stuart Dallas
88170,Jiri,Skalak,Skalak,,67,,,,,,,,beaec218,6106,148734,700358400000,Jiri Skalak
88175,Lovre,Kalinic,Kalinic,,,,474,,,,,,3a74f92b,8253,46405,639100800000,Lovre Kalinic
88248,Stefan,Ortega Moreno,Ortega Moreno,,,,,,,324,361,358,c1242d4e,8786,85941,721008000000,Stefan Ortega
88482,Álvaro,Morata,Morata,,472,134,,,,,,,129af0db,1804,128223,719798400000,Álvaro Morata
88484,Pablo,Sarabia,Sarabia,,,,,,,704,570,565,9744ff80,2199,74230,705542400000,Pablo Sarabia
88498,Benik,Afobe,Afobe,52,49,,,,,,,,b63f4077,826,110858,729475200000,Benik Afobe
88734,Neil,Etheridge,Etheridge,,,88,,,,,,,2642bf6c,6821,61694,634348800000,Neil Etheridge
88894,Ross,Barkley,Barkley,134,149,127,117,106,124,131,630,29,3a24769f,592,131978,755049600000,Ross Barkley
88898,Moses,Odubajo,Odubajo,151,,,,,,,,,761bc132,,163738,743817600000,Moses Odubajo
88900,Jack,Stephens,Stephens,504,313,333,308,367,338,404,,472,6adbc307,1735,163744,759628800000,Jack Stephens
88935,Steven,Berghuis,Berghuis,421,411,,,,,,,,713c144a,744,129554,693100800000,Steven Berghuis
89068,Layvin,Kurzawa,Kurzawa,,,,,,,613,,,41e7ef1c,3298,126710,715564800000,Layvin Kurzawa
89076,Remo,Freuler,Freuler,,,,,,,582,446,,98d2c2c4,1488,148252,703296000000,Remo Freuler
89085,Nathaniel,Chalobah,Chalobah,530,112,387,374,,385,203,,,422862ea,1677,128900,787190400000,Nathaniel Chalobah
89274,José Ignacio,Peleteiro Romallo,Jota,,,,36,34,,,,,9f351459,2132,176591,677030400000,Jota
89335,Saúl,Ñíguez,Saúl,,,,,,592,,,,c14bc029,2266,148928,785376000000,Saúl Ñíguez
89470,Onel,Hernández,Hernández,,,,284,,320,,,,007b39a5,7697,109751,728524800000,Onel Hernández
89572,Denis,Suárez,Suárez,,,586,,,,,,,12c50af5,2308,165007,757814400000,Denis Suárez
90105,Ryan,Fraser,Fraser,536,47,40,75,507,298,359,410,397,d56543a0,1683,146795,762048000000,Ryan Fraser
90152,Raphaël,Varane,R.Varane,,,,,,555,329,395,,9f8e9423,2245,164770,735696000000,Raphaël Varane
90263,James,Husband,Husband,661,,,,,,,,,33e2d513,5576,167393,757555200000,James Husband
90440,Tom,Trybull,Trybull,,,,290,,,,,,552aa16c,7692,93831,731635200000,Tom Trybull
90517,Robbie,Brady,Brady,640,87,79,98,95,,,,,96bb8cc2,789,128229,695347200000,Robert Brady
90518,Ravel,Morrison,Morrison,,,,456,,,,,,bf59c794,1883,128907,728611200000,Ravel Morrison
90585,Willy,Boly,Boly,,,423,405,458,428,474,439,425,a4ac4b8f,6850,142310,665539200000,Willy-Arnaud Boly
90714,Ahmed,Musa,Musa,187,207,,,,,,,,b7084daf,1681,168337,719020800000,Ahmed Musa
91046,Cauley,Woodrow,Woodrow,,,,,,,,340,,d3085b49,11721,169801,786326400000,Cauley Woodrow
91047,Stuart,Armstrong,S.Armstrong,,,345,323,368,339,405,,,97333cf5,6893,130765,701913600000,Stuart Armstrong
91126,Will,Keane,Keane,557,,,,,,,,,fc7f8f87,1047,118535,726710400000,Will Keane
91651,Mateo,Kovačić,Kovačić,,,499,432,107,125,132,356,354,79c0821a,2254,51471,768182400000,Mateo Kovacic
91889,Niclas,Füllkrug,Füllkrug,,,,,,,,,589,4f16405e,6098,75489,729216000000,Niclas Füllkrug
91972,Saido,Berahino,Berahino,448,349,,,,,,,,25b166d0,811,128897,744422400000,Saido Berahino
91979,Jon,Flanagan,Flanagan,194,514,,,,,,,,f2428fd4,490,145922,725846400000,Jon Flanagan
92159,Jetro,Willems,Willems,,,,498,,,,,,9050ddc4,6143,146258,764985600000,Jetro Willems
92170,Massadio,Haidara,Haidara,,465,,,,,,,,5167c97e,943,170929,723254400000,Massadio Haïdara
92217,Roberto,Firmino,Firmino,209,235,257,187,249,228,279,,,4c370d81,482,131789,686361600000,Roberto Firmino
92259,Neeskens,Kebano,Kebano,,,187,,180,,204,,,18b999f4,6840,111422,700185600000,Neeskens Kebano
92293,Omar,Elabdellaoui,Elabdellaoui,634,,,,,,,,,4f56170e,5551,121404,691891200000,Omar Elabdellaoui
92371,Pablo,Marí Villar,Pablo Marí,,,,617,10,8,20,,,aa54ec6f,8380,210178,746755200000,Pablo Marí
92383,Nahki,Wells,Wells,,185,86,,,,,,,b070482d,6389,173483,644198400000,Nahki Wells
93001,Konstantinos,Stafylidis,Stafylidis,,599,,,,,,,,861e0116,368,148967,754790400000,Konstantinos Stafylidis
93100,Jannik,Vestergaard,Vestergaard,,,463,304,369,340,253,,307,1900032e,111,99331,712800000000,Jannik Vestergaard
93127,Jesé,Rodríguez Ruiz,Jesé,,512,,,,,,,,4a537185,2256,134936,730684800000,Jesé
93264,Eric,Dier,Dier,390,384,361,350,391,361,430,496,,ac861941,643,175722,758592000000,Eric Dier
93284,Florin,Andone,Andone,,,66,46,64,500,,,,dc008610,4068,177065,734486400000,Florin Andone
93464,Tom,Carroll,Carroll,397,367,,,,,,,,5a1900a4,653,121279,707011200000,Tom Carroll
94147,Conor,Coady,Coady,,,430,403,459,429,475,,288,2928dca2,6851,128901,730598400000,Conor Coady
94245,Michy,Batshuayi,Batshuayi,96,113,592,461,108,126,,,,2973d8ff,1678,179184,749520000000,Michy Batshuayi
94248,Sergio,Rico,Rico,,,509,,,,,,,5f0241b2,2072,207302,,
94924,Gerard,Deulofeu,Deulofeu,141,609,394,363,,,,,,39583cfd,591,129476,763516800000,Gerard Deulofeu
94926,Freddie,Ladapo,Ladapo,508,505,,,,,,,276,da2b8db3,1778,233998,728524800000,Freddie Ladapo
95463,Danny,Ward,Ward,,530,457,170,223,204,254,,308,d3ce0e89,473,203026,740707200000,Danny Ward
95508,Fredrik,Ulvestad,Ulvestad,65,575,,,,,,,,8f160d73,1788,158022,708739200000,Fredrik Ulvestad
95658,Harry,Maguire,Maguire,153,198,220,160,298,273,330,387,377,d8931174,1687,177907,731289600000,Harry Maguire
95715,Lucas,Rodrigues Moura da Silva,Lucas Moura,,617,370,345,392,362,431,,,2b622f01,3293,77100,713664000000,Lucas Moura
96305,Jay,Fulton,Fulton,371,362,,,,,,,,434ad289,896,171260,765158400000,Jay Fulton
96306,Stephen,Kingsley,Kingsley,365,355,,,,,,,,488cc9c7,892,184398,774921600000,Stephen Kingsley
96764,M'Baye,Niang,Niang,637,,,,,,,,,2054d037,1126,157501,787795200000,M'Baye Niang
96767,Dimitri,Foulquier,Foulquier,,,,542,,,,,,45e17712,2509,170472,732844800000,Dimitri Foulquier
96778,Adam,Reach,Reach,285,,,,,,,,,33a2d4dc,1768,163530,728697600000,Adam Reach
96784,Jordan,Clark,Clark,,,,,,,,320,,7c5fa6cf,12187,184129,,
96787,Mohamed,Elyounoussi,Elyounoussi,,,346,322,,517,406,,,68dc0dac,6894,186644,775958400000,Mohamed Elyounoussi
96994,Bobby,De Cordova-Reid,De Cordova-Reid,,,110,,181,,205,270,290,0f7533cd,6827,186186,728611200000,Bobby De Cordova-Reid
97032,Virgil,van Dijk,Virgil,303,311,246,183,250,229,280,313,339,e06683ca,833,139208,678931200000,Virgil van Dijk
97296,Tommie,Hoban,Hoban,480,,,,,,,,,45045170,1002,183161,759369600000,Tommie Hoban
97299,John,Stones,Stones,128,242,262,207,273,252,302,368,362,5eecec3d,586,186590,770083200000,John Stones
97485,Kevin,Wimmer,Wimmer,388,383,,,,,,,,faf55ce4,650,122675,721785600000,Kevin Wimmer
97615,Mike,van der Hoorn,van der Hoorn,366,356,,,,,,,,25f50295,1702,187105,719107200000,Mike van der Hoorn
98745,Héctor,Bellerín,Bellerín,6,7,4,2,11,9,,,,f874dd44,492,191217,795571200000,Héctor Bellerín
98747,Nick,Pope,Pope,471,469,68,93,96,112,376,424,413,4b40d9ca,5552,192080,703641600000,Nick Pope
98770,Ørjan,Nyland,Nyland,,,,27,35,,,,,bdedffac,250,73517,652924800000,Ørjan Nyland
98780,Juan Carlos,Paredes,Paredes,410,,,,,,,,,5d8c6afd,578,100507,552700800000,Juan Carlos Paredes
98914,Guido,Carrillo,Carrillo,,607,350,,,,,,,8f898ba8,3424,184672,675129600000,Guido Carrillo
98980,Emiliano,Martínez Romero,Martinez,657,3,542,427,12,30,31,49,47,7956236f,4401,111873,715392000000,Emiliano Martínez
99127,Joel,Campbell,Campbell,23,,,,,,,,,895ff3ca,506,131248,709516800000,Joel Campbell
99323,Lazar,Markovic,Markovic,206,,594,,,,,,,723ba189,4406,144303,762566400000,Lazar Markovic
100059,Alberto,Moreno,Moreno,192,216,240,,,,,,,11b9265b,608,207917,710294400000,Alberto Moreno
100180,Danilo Luiz,da Silva,Danilo,,483,266,209,,,,,,94b2001f,2244,145707,679536000000,Danilo
100412,André,Carrillo,Carrillo,,527,,,,,,,,7527558b,6230,135057,,
100649,Bernard,Anício Caldeira Duarte,Bernard,,,507,152,154,167,,,,ab4b3e35,7063,175169,715910400000,Bernard
101061,Philip,Heise,Heise,,,,484,,,,,,ef66b362,70,112617,677376000000,Philip Heise
101105,Joe,Bryan,Bryan,,,510,,182,,206,,,af69e7f0,6834,194460,748224000000,Joe Bryan
101148,Jamaal,Lascelles,Lascelles,,290,312,258,328,299,360,419,407,450ab6fc,766,183318,752976000000,Jamaal Lascelles
101178,James,Ward-Prowse,Ward-Prowse,306,317,338,321,370,341,407,664,531,3515d404,843,181579,783648000000,James Ward-Prowse
101179,Lloyd,Isgrove,Isgrove,584,,,,,,,,,430696d5,1761,226965,726796800000,Lloyd Isgrove
101184,Calum,Chambers,Chambers,11,480,9,467,13,10,32,37,,dc6f5bdd,508,215118,790560000000,Calum Chambers
101188,Lucas,Digne,Digne,,,484,141,155,168,33,42,36,1b84dbe1,1823,126664,743126400000,Lucas Digne
101338,Marcel,Sabitzer,Sabitzer,,,,,,,728,,,e280527c,5248,106987,763862400000,Marcel Sabitzer
101394,Okay,Yokuslu,Yokuslu,,,,,654,,,,,e49ce451,6932,137616,763171200000,Okay Yokuslu
101537,Felipe Anderson,Pereira Gomes,Felipe Anderson,,,465,390,440,,,,,9f1893b9,1208,159372,734832000000,Felipe Anderson
101582,Frederico,Rodrigues de Paula Santos,Fred,,,304,244,299,274,331,381,,b853e0ad,6817,191614,731289600000,Fred
101668,Jamie,Vardy,Vardy,184,209,234,166,224,205,255,,306,45963054,755,197838,537321600000,Jamie Vardy
101982,Sam,Johnstone,Johnstone,,,,,417,,175,230,204,9e5708be,978,110864,733017600000,Sam Johnstone
102057,Raúl,Jiménez,Raúl,,,437,409,460,430,476,558,252,b561db50,4105,206040,673401600000,Raúl Jiménez
102366,Moritz,Bauer,Bauer,,594,,,,,,,,cfe6238d,5453,159692,696297600000,Moritz Bauer
102380,Antonio,Rüdiger,Rüdiger,,103,118,104,109,127,,,,18b896d6,1822,86202,731116800000,Antonio Rüdiger
102549,Adam,Davies,A.Davies,,,,,,,,479,,71894777,11733,121254,711331200000,Adam Davies
102738,Giannelli,Imbula,Imbula,334,343,,,,,,,,b86fe156,861,130756,716256000000,Giannelli Imbula
102747,Djibril,Sidibé,Sidibé,,,,511,,,,,,4c5b714f,3357,161869,712368000000,Djibril Sidibé
102826,Benjamin,Mendy,Mendy,,484,267,204,274,253,,,,5271c8f1,3389,157495,774403200000,Benjamin Mendy
102836,Brice,Samba,Samba,,,,,,,382,,,60d90c55,4748,191056,767232000000,Brice Samba
102884,Paulo,Gazzaniga Farias,Gazzaniga,295,565,536,341,393,,207,,,63d17038,973,195488,694310400000,Paulo Gazzaniga
103025,Riyad,Mahrez,Mahrez,176,199,223,217,275,254,303,359,,892d5bb1,750,171424,667094400000,Riyad Mahrez
103100,Jonathan,Williams,Williams,116,,,,,,,,,49b8432c,1060,170322,750124800000,Jonny Williams
103123,Sébastien,Haller,Haller,,,,457,441,,,,,ba115a40,6144,181375,772243200000,Sébastien Haller
103127,Molla,Wagué,Wagué,645,197,,,,,,,,a440d8ca,1159,129893,667094400000,Molla Wagué
103192,Kurt,Zouma,Zouma,79,99,526,459,110,128,461,544,532,ce4246f5,935,157509,783216000000,Kurt Zouma
103912,Jordon,Ibe,Ibe,46,45,38,78,,,,,,9f736ed2,481,195652,818380800000,Jordon Ibe
103914,Charlie,Taylor,Taylor,,81,74,87,97,113,,178,475,cc2d7ad5,6044,195633,748310400000,Charlie Taylor
103955,Raheem,Sterling,Sterling,228,247,270,214,276,255,304,216,186,b400bde0,618,134425,786844800000,Raheem Sterling
104047,Pelly Ruddock,Mpanzu,Mpanzu,,,,,,,,582,,a9b1c319,11716,244338,764294400000,Pelly Ruddock Mpanzu
104073,Joe,Ralls,Ralls,,,98,,,,,,,3730fcbc,6825,195680,750384000000,Joe Ralls
104535,Harry,Bunn,Bunn,,179,,,,,,,,c8d840f0,,186290,722304000000,Harry Bunn
104542,Loris,Karius,Karius,189,214,238,,,,626,580,,32e7ce92,37,85864,740707200000,Loris Karius
104545,Tommy,Smith,Smith,,166,194,,,,,,,e9208654,6029,121398,,
104547,Dwight,Gayle,Gayle,,301,325,554,329,300,361,,,e58a03c6,743,196522,624585600000,Dwight Gayle
104953,Christian,Atsu,Atsu,,300,320,267,330,,,,,8816329f,2344,186997,695001600000,Christian Atsu
105377,Ezgjan,Alioski,Alioski,,,,,201,,,,,1a7fcf39,8722,129604,697852800000,Ezgjan Alioski
105666,Jack,Butland,Butland,316,328,,,586,156,162,,,cc70a1d5,856,128899,731721600000,Jack Butland
105700,Davide,Zappacosta,Zappacosta,,543,120,109,,,,,,7fe90ccd,1178,173859,708220800000,Davide Zappacosta
105717,Arthur,Masuaku,Masuaku,505,446,410,378,442,417,462,,,57df7a11,1760,181380,752630400000,Arthur Masuaku
106449,Kevin,Stewart,Stewart,198,,,,,,,,,ff674795,479,200782,747360000000,Kevin Stewart
106450,Alex,Pritchard,Pritchard,401,593,206,,,,,,,ff9fcd4d,815,200777,736387200000,Alex Pritchard
106468,Álex,Moreno Lopera,Alex Moreno,,,,,,,694,32,26,16e9d0ea,4120,193098,739497600000,Álex Moreno
106603,Ezekiel,Fryers,Fryers,580,,,,,,,,,f58d6213,1671,141655,715996800000,Ezekiel Fryers
106606,Massimo,Luongo,Luongo,,,,,,,,,277,967ac6e1,12747,181687,717379200000,Massimo Luongo
106611,Michael,Keane,Keane,58,146,162,143,156,169,180,257,228,c5b7c315,1653,118534,726710400000,Michael Keane
106617,Patrick,Bamford,Bamford,553,,,,202,189,227,,,93feac6e,822,183334,747187200000,Patrick Bamford
106618,Paul,Dummett,Dummett,,291,313,255,331,301,362,581,,3fe6bd8c,853,170321,685843200000,Paul Dummett
106757,Jürgen,Locadia,Locadia,,604,65,45,,595,,,,6cc47ae1,6542,166240,752630400000,Jürgen Locadia
106760,Luke,Shaw,Shaw,247,265,286,226,300,275,332,398,387,9c94165b,1006,183288,805507200000,Luke Shaw
106824,Memphis,Depay,Depay,258,,,,,,,,,8f696594,555,167850,761097600000,Memphis Depay
106837,Dennis,Praet,Praet,,,,517,225,206,549,,,86695068,1234,129588,768873600000,Dennis Praet
106899,Roque,Mesa,Mesa,,370,,,,,,,,7c4243d4,2356,202984,613180800000,Roque Mesa
107265,Angus,Gunn,Gunn,668,,452,319,371,448,,,,e082af5b,5544,201574,822268800000,Angus Gunn
107613,Romain,Saïss,Saïss,,,426,407,461,431,,,,9fbbcf39,3491,204198,638409600000,Romain Saïss
108053,Conor,Townsend,Townsend,,,,,418,,,,583,4dc4f138,8905,146509,731203200000,Conor Townsend
108093,Luciano,Vietto,Vietto,,,513,,,,,,,2513a588,2274,214316,755049600000,Luciano Vietto
108156,Björn,Engels,Engels,,,,455,36,31,,,,4fdf1fd9,7152,193469,779587200000,Björn Engels
108411,Dan,Potts,Potts,,,,,,,,333,,3595affe,12309,207037,766195200000,Dan Potts
108413,Will,Hughes,Hughes,,416,392,370,,386,163,229,203,a0666d3e,6104,207014,798076800000,Will Hughes
108416,John,Egan,Egan,,,,295,353,,,480,,debe38a0,7703,121324,719539200000,John Egan
108438,Sandro,Ramírez,Sandro,,160,470,,,,,,,833fb62e,2537,199369,805248000000,Sandro Ramírez
108796,Tom,Lockyer,Lockyer,,,,,,,,575,,37118440,11714,207742,786412800000,Tom Lockyer
108813,Christian,Walton,Walton,,,,,503,,,,283,c666574f,9251,208379,815875200000,Christian Walton
108823,Dele,Alli,Dele,398,388,365,344,394,363,181,248,,cea4ee8f,645,207929,829180800000,Dele Alli
108824,Brendan,Galloway,Galloway,129,,,,,,,,,321506b3,909,208244,827020800000,Brendan Galloway
109065,Davy,Klaassen,Klaassen,,158,171,,,,,,,15fd5593,6045,182932,730252800000,Davy Klaassen
109322,Jesse,Lingard,Lingard,266,279,300,241,301,276,527,,,810e3c74,558,141660,724377600000,Jesse Lingard
109345,Solly,March,March,,66,58,55,65,60,107,140,132,bb5fbd2b,6049,209212,774662400000,Solly March
109434,Terence,Kongolo,Kongolo,,591,198,,585,,208,274,,1f9a3a04,6067,152651,761184000000,Terence Kongolo
109528,Javier,Manquillo Gaitán,Manquillo,538,477,315,256,332,302,363,422,,758dd7f0,1719,162029,768096000000,Javier Manquillo
109533,Emerson,Palmieri dos Santos,Emerson,,614,121,107,111,539,545,532,520,e0bc6fdc,1245,181778,775872000000,Emerson
109638,Kean,Bryan,Bryan,,,,,603,,,,,c684d3c9,9163,214928,846806400000,Kean Bryan
109646,Tosin,Adarabioyo,Tosin,607,586,,,572,,209,286,187,c81d773d,5590,258878,875059200000,Tosin Adarabioyo
109745,Kepa,Arrizabalaga,Arrizabalaga,,,498,111,112,129,133,187,152,28d596a0,5061,192279,781142400000,Kepa
109788,João Mário,Naval Costa Eduardo,João Mário,,608,,,,,,,,f0021247,1512,149729,727401600000,João Mário
109999,Ibrahima,Cissé,Cissé,,,521,,,,,,,be4fede9,6839,160380,762393600000,Ibrahima Cissé
110504,Bertrand,Traoré,Bertrand Traoré,91,,,,540,32,34,59,,c47541e0,695,131996,810345600000,Bertrand Traoré
110735,Adam,Webster,Webster,,,,493,66,61,108,153,147,c40b6180,7699,212847,789177600000,Adam Webster
110979,Sadio,Mané,Mané,212,230,251,192,251,230,,,,c691bfe2,838,200512,702864000000,Sadio Mané
111234,Jordan,Pickford,Pickford,340,135,154,148,157,170,182,263,235,4806ec67,741,130164,762998400000,Jordan Pickford
111291,Fernando,Marçal,Marçal,,,,,505,432,,,,9ae9eaea,5708,137745,603849600000,Marçal
111317,David,Brooks,Brooks,,,42,76,,,60,64,62,dc4cae05,6820,277033,868320000000,David Brooks
111452,Odysseas,Vlachodimos,Odysseas,,,,,,,,710,412,03df04ff,375,124419,767318400000,Odysseas Vlachodimos
111457,Sead,Kolasinac,Kolasinac,,13,8,3,14,11,,,,3935e52e,342,94005,740534400000,Sead Kolasinac
111478,Joël,Veltman,Veltman,,,,,67,62,109,151,145,dad4b285,8780,111195,695433600000,Joël Veltman
111773,Emil,Krafth,Krafth,,,,519,333,303,364,417,405,77cf6852,1545,184528,775785600000,Emil Krafth
111782,Robin,Olsen,Olsen,,,,,573,691,35,53,51,e7ee38c3,6962,75458,631756800000,Robin Olsen
111787,Modou,Barrow,Barrow,379,368,,,,,,,,75783f5f,720,189070,718934400000,Modou Barrow
111847,Adama,Diomande,Diomande,164,,,,,,,,,336dbcb2,1694,93145,634953600000,Adama Diomande
111931,Ricardo,Barbosa Pereira,Ricardo,,,221,159,226,207,256,,302,75a72a99,3303,215876,749865600000,Ricardo Pereira
112139,James,Wilson,Wilson,270,,,,,,,,,b0d786ee,992,214104,817776000000,James Wilson
112316,Jakob,Haugaard,Haugaard,317,569,,,,,,,,142741bb,870,138335,704678400000,Jakob Haugaard
112338,Emre,Can,Can,204,227,,,,,,,,a65ce836,604,119296,758332800000,Emre Can
112507,Jack,Rose,Rose,548,,,,,,,,,eb338814,1009,186923,,
112516,Isaiah,Brown,Brown,,481,,,,,,,,bf54c8cc,4481,245805,852595200000,Isaiah Brown
112520,Alex,Palmer,Palmer,601,557,,,,,,,764,6ea97fd5,1038,245625,839635200000,Alex Palmer
113534,Matt,Macey,Macey,660,559,,646,527,,,323,,136e7649,903,220491,779068800000,Matt Macey
113564,Sam,Byram,Byram,457,445,404,454,,321,,,,1bf811d4,902,236953,748137600000,Sam Byram
113688,Oumar,Niasse,Niasse,145,548,176,570,,,,,,af721f98,599,209781,640396800000,Oumar Niasse
114000,George,Honeyman,Honeyman,587,,,,,,,,,84afeaff,1046,218140,778982400000,George Honeyman
114054,Omar,Bogle,Bogle,,,108,,,,,,,c334bcfc,,134657,743644800000,Omar Bogle
114093,Matthew,Pennington,Pennington,131,141,,,,,,,,0ff967f7,920,220755,781401600000,Matthew Pennington
114128,Jonathan,Castro Otto,J.Otto,,,483,402,462,433,477,560,,e28868f3,2280,175446,762652800000,Jonny
114241,Harry,Toffolo,Toffolo,,,,,,,523,465,444,a105d46a,10758,198516,808790400000,Harry Toffolo
114243,Jacob,Murphy,J.Murphy,,478,321,483,497,304,365,423,402,de112b84,6063,199527,793584000000,Jacob Murphy
114245,Josh,Murphy,Murphy,,,106,,,,,,,b30c7426,6828,199528,793584000000,Josh Murphy
114283,Jack,Grealish,Grealish,,,,29,37,33,305,354,349,b0b4fd3e,675,203460,810691200000,Jack Grealish
114536,Ryan,Inniss,Inniss,,,,,534,,,,,600ae8cb,8822,183284,802310400000,Ryan Inniss
115357,Mouez,Hassen,Hassen,650,,,,,,,,,fd481f3f,3313,215677,794361600000,Mouez Hassen
115382,Neal,Maupay,Maupay,,,,502,68,63,110,258,229,4bcf39f6,3621,217115,839980800000,Neal Maupay
115556,Ben,Davies,Davies,386,381,356,329,395,364,432,495,484,44781702,660,192765,,
115854,Duncan,Watmore,Watmore,353,,,,,,,,,2b2bae51,919,248045,763084800000,Duncan Watmore
115858,Rachid,Ghezzal,Ghezzal,,,492,173,,,,,,dc3a9a0d,3276,118287,705369600000,Rachid Ghezzal
115918,Rúnar Alex,Rúnarsson,Rúnarsson,,,,,547,2,,18,,8fa8f8d2,6875,205657,793065600000,Rúnar Rúnarsson
116216,Leandro,Trossard,Trossard,,,,421,69,64,111,26,23,38ceb24a,7698,144028,786499200000,Leandro Trossard
116404,Felipe Augusto,de Almeida Monteiro,Felipe,,,,,,,730,445,,51a3c4c8,7921,156501,611280000000,Felipe
116535,Alisson,Ramses Becker,A.Becker,,,468,189,252,231,281,291,310,7a2e46a8,1257,105470,717984000000,Alisson Becker
116543,Valentino,Lazaro,Lazaro,,,,614,,,,,,016ff750,6352,186368,827625600000,Valentino Lazaro
116594,N'Golo,Kanté,Kanté,95,111,126,119,113,130,134,,,b9fbae28,751,225083,670204800000,N'Golo Kanté
116643,Fabio Henrique,Tavares,Fabinho,,,255,197,253,232,282,296,,7f3b388c,3420,225693,751334400000,Fabinho
